regiao_id,municipio,uf,macrorregiao,latitude,longitude,fornos_detectados,densidade_populacional,pib_per_capita,distancia_centro_urbano_km,indice_pobreza,idh,taxa_informalidade,casos_oit_historicos,cobertura_fiscalizacao,area_desmatada_km2,acesso_educacao,populacao_total,score_risco,categoria_risco,pessoas_em_risco_estimadas
BR-00001,Serra Limpo,RS,Sul,-31.1343,-56.0039,1,276.25,34211.25,80.4,38.71,0.748,29.49,0,77.33,1.92,76.25,60987,29.7,Baixo Risco,312
BR-00002,Monte da Serra,MS,Centro-Oeste,-19.2387,-55.6038,2,35.77,28589.8,285.9,49.62,,55.58,0,,10.66,57.61,25668,66.9,Médio Risco,727
BR-00003,Bela da Serra,RR,Norte,0.3662,-60.0235,2,52.49,38950.96,231.3,43.57,0.814,39.75,0,62.64,14.94,69.68,71037,45.7,Médio Risco,869
BR-00004,Santa Esperança,RJ,Sudeste,-22.6509,-43.5405,2,18.98,43311.4,185.6,39.57,0.704,54.27,0,46.84,5.77,57.53,2763,56.6,Médio Risco,59
BR-00005,São do Sertão,AP,Norte,0.5895,-52.9304,1,108.1,46472.58,170.8,12.63,0.84,30.41,1,67.76,1.39,79.86,455705,25.7,Baixo Risco,1881
BR-00006,Rio Esperança,TO,Norte,-9.94,-46.4667,6,21.05,24350.96,337.2,46.41,0.587,51.26,0,42.75,16.23,64.38,46304,82.1,Alto Risco,1718
BR-00007,Vale Feliz,RS,Sul,-30.5967,-51.3236,0,30.76,23479.69,167.7,40.88,0.64,33.38,0,47.8,3.46,66.03,504120,46.1,Médio Risco,5603
BR-00008,Porto Limpo,RS,Sul,-30.0793,-52.4762,0,8.27,58607.03,71.5,19.08,0.96,29.55,0,79.65,1.56,99.0,11085,9.1,Baixo Risco,9
BR-00009,Rio Azul,AM,Norte,-3.8006,-65.7372,2,15.12,32239.19,219.1,44.42,0.692,45.7,1,46.66,28.28,71.58,8127,69.4,Médio Risco,213
BR-00010,Lago Grande,MS,Centro-Oeste,-21.5381,-54.8753,2,52.48,44568.44,166.7,19.12,0.925,22.77,1,56.15,21.97,87.52,51911,30.3,Baixo Risco,238
BR-00011,Boa do Forno,MA,Nordeste,-4.7409,-46.5658,2,67.77,38324.68,172.0,33.18,0.724,41.62,0,57.36,4.24,67.94,51698,46.9,Médio Risco,679
BR-00012,São do Forno,SE,Nordeste,-10.2363,-38.8427,1,59.52,33308.24,160.1,46.06,0.684,47.14,0,39.84,1.51,54.81,50152,54.8,Médio Risco,919
BR-00013,Cruz Azul,PE,Nordeste,-8.5041,-39.3222,0,5.1,35580.24,84.7,38.42,0.736,58.94,0,43.63,0.86,60.95,41452,32.9,Baixo Risco,394
BR-00014,Bela Esperança,RO,Norte,-11.4326,-64.2053,3,5.68,32783.59,255.1,37.57,0.688,38.89,0,47.98,13.48,60.37,14986,64.5,Médio Risco,314
BR-00015,Santa Azul,MS,Centro-Oeste,-19.3948,-55.9886,1,60.95,46514.54,137.1,29.4,0.903,35.6,0,61.79,16.95,63.21,5132,28.0,Baixo Risco,27
